town,flat_type,floor_area_sqm,remaining_lease_months,resale_price,distanceWithMrt,distanceWithRaffles,distanceWithGdPri
BEDOK,3 ROOM,59,654,248000,423.5150562,10029.26245,1295.74321
BEDOK,3 ROOM,65,653,274000,474.3817149,10012.64811,1362.544058
BEDOK,3 ROOM,67,678,270000,923.2997213,10989.20077,292.8874463
BEDOK,3 ROOM,67,685,265000,978.7064306,10671.98558,780.1244919
BEDOK,3 ROOM,66,741,3.00E+05,450.7394202,9515.592604,1143.571241
BEDOK,3 ROOM,75,750,3.00E+05,918.4668126,8909.824033,1651.6296
BEDOK,3 ROOM,75,750,285000,918.4668126,8909.824033,1651.6296
BEDOK,3 ROOM,65,611,250000,864.8224794,9168.818092,1400.642436
BEDOK,3 ROOM,68,706,270000,801.9846319,9530.891474,1022.849949
BEDOK,3 ROOM,68,720,248000,781.2254571,9373.480717,1186.569115
BEDOK,3 ROOM,68,719,240000,781.2254571,9373.480717,1186.569115
BEDOK,3 ROOM,67,766,292000,643.8365457,9617.282,956.8898278
BEDOK,3 ROOM,65,670,270000,707.4509978,10444.22764,1083.832014
BEDOK,3 ROOM,60,771,282000,717.5543858,10918.89728,751.1793708
BEDOK,3 ROOM,65,669,285000,558.5109718,10296.25444,1093.034226
BEDOK,4 ROOM,87,1066,660000,549.9608632,10347.36996,923.9098767
BEDOK,4 ROOM,97,1066,735000,405.3261448,10205.31126,966.2604132
BEDOK,4 ROOM,92,704,433800,520.9984001,10210.99046,623.4616023
BEDOK,4 ROOM,92,704,378000,598.2535751,10329.12927,578.5717969
BEDOK,4 ROOM,92,704,430000,598.2535751,10329.12927,578.5717969
BEDOK,4 ROOM,92,687,350000,797.0047673,11246.51672,527.172334
BEDOK,4 ROOM,92,694,345000,884.0547468,11513.15489,855.9273285
BEDOK,4 ROOM,92,690,375000,538.1088116,9953.92642,677.5630514
BEDOK,4 ROOM,92,690,4.00E+05,623.4577773,9866.140468,716.8704018
BEDOK,4 ROOM,92,1013,471888,609.5270651,11033.3166,1046.790097
BEDOK,4 ROOM,91,672,342000,618.4204804,10885.82999,222.1819145
BEDOK,4 ROOM,92,679,360000,962.5871545,10904.80885,588.0362635
BEDOK,4 ROOM,92,1012,605000,623.4654043,11004.04077,1080.847593
BEDOK,4 ROOM,92,680,4.00E+05,839.6091668,10649.22954,755.8017689
BEDOK,4 ROOM,93,706,345000,904.6185314,9762.65116,794.5031216
BEDOK,4 ROOM,95,701,395000,595.3007435,9706.612481,984.992449
BEDOK,4 ROOM,92,695,333000,309.0575776,10444.8399,166.0337886
BEDOK,4 ROOM,87,1115,733000,383.9686162,9696.106856,1260.220263
